epsilon,delta,mean_error,std_error,confidence_interval
0.1,0.1,4.343676185508181,0.25623107890826313,0.5022129146601957
0.1,0.5,4.11772277220168,0.17452430101387134,0.3420676299871878
0.1,1.0,4.323839056700894,0.29623239439529003,0.5806154930147684
0.1,2.0,4.078331002983728,0.2665289155441461,0.5223966744665264
0.1,5.0,4.179743543009375,0.23961975754988588,0.4696547247977763
0.1,10.0,4.174072879471997,0.2879829760608831,0.5644466330793309
0.5,0.1,4.282709480443225,0.22968773409123602,0.4501879588188226
0.5,0.5,4.2361203860801435,0.22936698102752012,0.4495592828139394
0.5,1.0,4.425665160104702,0.46865559651573074,0.9185649691708322
0.5,2.0,4.282703435302553,0.2837745561864895,0.5561981301255194
0.5,5.0,4.364578216700098,0.26112701187542847,0.5118089432758398
0.5,10.0,4.194221754007832,0.18079624087496501,0.3543606321149314
1.0,0.1,4.2462825742497134,0.3725131838515512,0.7301258403490403
1.0,0.5,4.157261353739871,0.19989669098217008,0.39179751432505333
1.0,1.0,4.328249483888249,0.3252773374048691,0.6375435813135434
1.0,2.0,4.173501606815236,0.3559539044718263,0.6976696527647795
1.0,5.0,4.2756906296682455,0.199930089202821,0.39186297483752913
1.0,10.0,4.2788980463508075,0.2871990091838366,0.5629100580003198
2.0,0.1,4.189716977393254,0.17471671348545154,0.34244475843148503
2.0,0.5,4.210055902286518,0.37203695391960895,0.7291924296824335
2.0,1.0,4.262727388211601,0.3072077212461843,0.6021271336425212
2.0,2.0,4.03114349050965,0.30323098170596813,0.5943327241436975
2.0,5.0,4.331948520521918,0.2310374060498878,0.4528333158577801
2.0,10.0,4.261519358726182,0.1985916261876416,0.3892395873277775
5.0,0.1,4.274035613534159,0.24883747750580568,0.4877214559113791
5.0,0.5,4.390152151345234,0.2200024502999296,0.431204802587862
5.0,1.0,4.328309729739178,0.3030191594901855,0.5939175526007635
5.0,2.0,4.178279404946905,0.296372488807541,0.5808900780627804
5.0,5.0,4.358867545511171,0.2733919343852336,0.5358481913950579
5.0,10.0,4.247999248726401,0.3176329271221013,0.6225605371593185
10.0,0.1,4.38972449794493,0.37342952270780666,0.731921864507301
10.0,0.5,4.250581478771414,0.32456749552912845,0.6361522912370917
10.0,1.0,4.1610511957011935,0.22961795800812917,0.45005119769593316
10.0,2.0,4.453521534223746,0.4024202075000231,0.7887436067000453
10.0,5.0,4.404527737919129,0.2563800093591527,0.5025048183439393
10.0,10.0,4.276879821471236,0.18328282547023847,0.35923433792166737
